Lang,sentNum,mweNum,continousExp,intereavingNum,singleWordExp,emeddedNum
BG,6913,1933,1587,0,1,0
CS,43955,12852,6625,96,0,165
DE,6261,2447,1334,1,715,61
EL,5244,1518,873,6,3,1
ES,2502,748,523,1,0,7
FA,2736,2707,2243,1,0,0
FR,17880,4462,2762,21,1,12
HE,4673,1282,1011,0,0,49
HU,3569,2999,2711,1,2205,23
IT,15728,1954,1582,6,2,28
LT,12153,402,261,0,0,0
MT,5965,772,596,1,7,1
PL,11578,3149,2307,30,0,5
PT,19640,3447,2040,44,76,4
RO,45469,4040,2613,9,1,20
SL,8881,1787,801,0,14,1
SV,200,56,44,1,0,0
TR,16715,6169,3046,18,3,7