Lang,Exper, F-score, Recall,Precision
FR,Maximaliste1,0.735,0.676,0.807
FR,Minimaliste1,0.685,0.687,0.684
FR,Tuned1,0.722,0.672,0.780
BG,Maximaliste1,0.584,0.517,0.670
BG,Tuned1,0.596,0.510,0.716
CS,Maximaliste1,0.705,0.653,0.767
CS,Minimaliste1,0.668,0.701,0.638
CS,Tuned1,0.709,0.667,0.757
DE,Maximaliste1,0.202,0.127,0.482
DE,Minimaliste1,0.180,0.149,0.227
DE,Tuned1,0.220,0.139,0.529
EL,Maximaliste1,0.584,0.503,0.697
EL,Minimaliste1,0.620,0.753,0.526
EL,Tuned1,0.594,0.519,0.695
ES,Maximaliste1,0.669,0.577,0.796
ES,Minimaliste1,0.607,0.756,0.506
ES,Tuned1,0.677,0.577,0.818
FA,Maximaliste1,0.829,0.804,0.855
FA,Minimaliste1,0.807,0.806,0.807
FA,Tuned1,0.832,0.808,0.859
HE,Maximaliste1,0.287,0.170,0.902
HE,Tuned1,0.344,0.215,0.866
HU,Maximaliste1,0.179,0.101,0.833
HU,Minimaliste1,0.142,0.077,0.885
HU,Tuned1,0.130,0.070,0.857
IT,Maximaliste1,0.281,0.218,0.395
IT,Minimaliste1,0.414,0.366,0.476
IT,Tuned1,0.297,0.239,0.392
LT,Maximaliste1,0.154,0.086,0.750
LT,Tuned1,0.150,0.086,0.600
MT,Maximaliste1,0.064,0.036,0.300
MT,Minimaliste1,0.123,0.072,0.429
MT,Tuned1,0.122,0.072,0.414
PL,Maximaliste1,0.712,0.598,0.881
PL,Minimaliste1,0.727,0.676,0.787
PL,Tuned1,0.720,0.608,0.882
RO,Maximaliste1,0.860,0.824,0.898
RO,Minimaliste1,0.773,1.202,0.569
RO,Tuned1,0.790,0.749,0.835
PT,Maximaliste1,0.657,0.578,0.761
PT,Minimaliste1,0.615,0.665,0.572
PT,Tuned1,0.654,0.578,0.754
SL,Maximaliste1,0.435,0.334,0.622
SL,Minimaliste1,0.579,1.123,0.390
SL,Tuned1,0.404,0.320,0.548
SV,Maximaliste1,0.400,0.250,1.000
SV,Minimaliste1,0.235,0.167,0.400
SV,Tuned1,0.154,0.083,1.000
TR,Maximaliste1,0.611,0.554,0.682
TR,Minimaliste1,0.573,0.598,0.549
TR,Tuned1,0.617,0.569,0.674