Lang, F-score, Recall,Precision, Sents, MWEs ,Non-Continous, intereaving, single,Emedded, Config
BG,0.600,0.522,0.704,6913,1933,347,0,1,0,110101001000100
CS,0.721,0.668,0.783,43955,12852,6227,136,0,159,111111100111101
DE,0.495,1.056,0.323,6261,2447,1828,70,715,26,100001011011010
EL,0.664,0.834,0.552,5244,1518,648,6,3,0,100011110111010
ES,0.714,0.641,0.806,2502,748,225,7,0,4,111111111111100
FA,0.833,0.806,0.862,2736,2707,464,1,0,0,100011100110100
FR,0.740,0.690,0.798,17880,4462,1701,48,1,2,100011110111110
HE,0.559,0.593,0.530,4673,1282,271,99,0,32,111111000001010
HU,0.854,0.866,0.842,3569,2999,2493,2,2205,21,111111111101000
IT,0.418,0.371,0.478,15728,1954,374,51,2,6,101001110110000
LT,0.154,0.086,0.750,12153,402,141,0,0,0,111111001011111
MT,0.221,0.269,0.188,5965,772,183,1,7,0,111101100111001
PL,0.734,0.728,0.741,11578,3149,842,32,0,4,101001110101000
PT,0.679,0.602,0.779,19640,3447,1483,51,76,3,111111111111111
RO,0.909,0.950,0.871,45469,4040,1428,24,1,12,111111101111110
SL,0.179,1.017,0.098,8881,1787,1000,0,14,0,101001100101000
SV,0.400,0.250,1.000,200,56,12,1,0,0,111111111111111
TR,0.524,0.561,0.490,16715,6169,3126,17,3,1,111111110101100